decade,averageRating
1890,3.7363636363636363
1900,4.0489999999999995
1910,5.810239549084077
1920,6.040018700327256
1930,6.0852882284750764
1940,6.174662927408047
1950,6.1606248581587115
1960,6.084928958051421
1970,5.896202424345173
1980,5.867182143389477
1990,6.004650491045638
2000,6.196239287794326
2010,6.230361874880754
2020,6.353254663805957
